site,SURE_year,phase,patch,H2Ohio_ID,sample_ID,topography,phase3_feature,latitude,longitude,collection_date,M3_extraction_date,WE_extraction_date,M3_analysis_date,P_mg_kgsoil,Fe_mg_kgsoil,Al_mg_kgsoil,Ca_mg_kgsoil,SPSC,PSI_analysis_date,PSI_mgP_per_100gdrysoil_over_log_umol_L,soil_PSR,NO3NO2_analysis_date,orthoP_analysis_date,NO3NO2_mg_kgsoil,orthoP_mg_kgsoil,NH3_mg_kgsoil,pH_measure_date,pH,elec_cond_measure_date,elec_cond,LOI_OM_percent
TRUC,2024,2,K,NA,2,HM,NA,41.6664,-80.9934,20240709,20240723,20240712,20240830,42.2312089,416.3078641,446.6991944,6854.736332,32.10209028,20250414,70.77343754,0.056813312,20241212,20250404,0.434983736,1.173692254,NA,20240913,7,20241108,51.83,7.842632048
TRUC,2024,2,K,NA,1,HM,NA,41.6665,-80.993,20240709,20240723,20240712,20240830,24.51437383,307.8444076,356.8013673,6040.324297,33.49309593,20250414,61.79976029,0.042260719,20241212,20250404,0.313531449,0.627654095,NA,20240913,6.88,20241108,108,5.386561485
TRUC,2024,2,J,NA,1,HL,NA,41.6685,-80.9916,20240709,20240723,20240712,20240830,2.553723982,258.2550525,506.0088744,9393.234766,69.83985306,20250414,66.33171557,0.003527556,20241212,20250404,0.722348875,0.09738653,NA,20240913,6.58,20241108,79.3,7.114727225
TRUC,2024,2,K,NA,2,HL,NA,41.6664,-80.9934,20240709,20240723,20240712,20240918,25.79271357,553.0156496,580.1417331,8918.636251,71.4295184,20250414,70.31315887,0.026529646,20241212,20250404,0.255287486,4.368297954,NA,20240913,7.38,20241108,61.83,7.029302057
TRUC,2024,2,I,NA,2,Pool,NA,41.66027,-81.002709,20240708,20240718,20240711,20240830,4.842841794,1097.741397,135.0947015,12910.07336,71.43585867,20250409,121.9137,0.006348878,20241212,20250404,0.089463882,0.1061581,NA,20240912,5.47,20241108,724.2,8.023980625
TRUC,2024,2,J,NA,2,HL,NA,41.668282,-80.991699,20240709,20240723,20240712,20240830,3.108830367,266.3024841,535.8255213,11133.24021,73.15362229,20250414,63.96893087,0.004076489,20241212,20250404,0.22682,0.099296311,NA,20240913,6.87,20241108,37.99,9.541665005
TRUC,2024,2,J,NA,2,HM,NA,41.668282,-80.991699,20240709,20240723,20240712,20240830,4.9968609,170.7163153,629.8842336,10900.52945,76.77354818,20250414,58.32553572,0.006110842,20241212,20250404,0.1989975,0.1012336,NA,20240913,6.91,20241108,25.93,7.791870568
TRUC,2024,2,K,NA,3,HM,NA,41.6664,-80.993,20240709,20240723,20240712,20240830,14.02723713,432.9118984,593.4248561,9193.169839,78.07149364,20250414,72.80721,0.015230652,20241212,20250404,0.374316334,0.278833773,NA,20240913,7.12,20241108,37.06,9.847529745
TRUC,2024,2,K,NA,3,HL,NA,41.6664,-80.993,20240709,20240723,20240712,20240918,20.71549279,620.8758359,569.9818946,10536.62864,79.09678523,20250414,80.62848501,0.020754453,20241212,20250404,0.196952379,1.200191248,NA,20240913,7.53,20241108,104.4,9.406631067
TRUC,2024,2,K,NA,1,HL,NA,41.6665,-80.993,20240709,20240723,20240712,20240918,24.36697623,955.1791963,474.6209623,9796.764883,83.00253289,20250414,71.88284859,0.022694503,20241212,20250404,0.235243423,0.686618013,NA,20240913,7.16,20241108,166.7,6.43625498
